College_ID,Rank,University_name,Year,CS_Overall_Score,CS_Academic_Reputation,CS_Employer_Reputation,CS_Citations_Per_Paper,CS__Index_Citations,CS_International_Research,Location,Country
1569,251-300,Peter the Great St. Petersburg Polytechnic University,2021,71.6,null,71.6,null,null,, St. Petersburg ,
1570,251-300,Queen's University Belfast,2021,85.7,null,null,85.7,null,, Belfast ,
1571,251-300,University of Groningen,2021,#DIV/0!,null,null,null,null,, Groningen ,
1572,251-300,Universitas Indonesia,2021,72.7,null,72.7,null,null,, Depok ,
1573,251-300,University of Luxembourg,2021,85.35,null,null,88,82.7,, Luxembourg ,
1574,251-300,University of Notre Dame,2021,#DIV/0!,null,null,null,null,, Notre Dame ,
1575,251-300,University of Patras,2021,#DIV/0!,null,null,null,null,, Patras ,
1576,251-300,University of Porto,2021,#DIV/0!,null,null,null,null,, Porto ,
1577,251-300,University of Rochester,2021,84.8,null,null,84.8,null,, Rochester ,
1578,251-300,University of South Australia,2021,#DIV/0!,null,null,null,null,, Magill ,
1579,251-300,University of St Andrews,2021,#DIV/0!,null,null,null,null,, St. Andrews ,
1580,251-300,University of Surrey,2021,86,null,null,86,null,, Guildford ,
1581,251-300,University of Texas Dallas,2021,81.3,null,null,null,81.3,, Richardson ,
1582,251-300,University of Warsaw ,2021,56.7,56.7,null,null,null,, Warsaw ,
1583,251-300,Warsaw University of Technology,2021,#DIV/0!,null,null,null,null,, Warsaw ,
1584,251-300,Washington State University,2021,87.5,null,null,87.5,null,, Pullman ,
1585,251-300,York University,2021,#DIV/0!,null,null,null,null,, Toronto ,
1586,301-350,University of Waikato,2021,#DIV/0!,null,null,null,null,, Hamilton  ,
1587,301-350,Victoria University ,2021,85.6,null,null,89.9,81.3,, Melbourne ,
1588,301-350,Vrije Universiteit Brussel (VUB),2021,#DIV/0!,null,null,null,null,, Brussels ,
1589,301-350,Weizmann Institute of Science,2021,56.9,56.9,null,null,null,, Rehovot ,
1590,301-350,University of Münster,2021,#DIV/0!,null,null,null,null,, Munster ,
1591,351-400,Beijing Jiaotong University,2021,83.1,null,null,null,83.1,, Beijing ,
1592,351-400,Beijing Normal University ,2021,#DIV/0!,null,null,null,null,, Beijing ,
1593,351-400,Brno University of Technology,2021,#DIV/0!,null,null,null,null,, Brno ,
1594,351-400,Chulalongkorn University,2021,#DIV/0!,null,null,null,null,, Bangkok ,
1595,351-400,Dartmouth College,2021,#DIV/0!,null,null,null,null,, Hanover ,
1596,351-400,Georgia State University,2021,#DIV/0!,null,null,null,null,, Atlanta ,
1597,351-400,Institut polytechnique de Grenoble - Grenoble Institute of Technology,2021,71.7,null,71.7,null,null,, Grenoble ,
1598,351-400,Griffith University,2021,92.1,null,null,92.1,null,, Nathan ,
1599,351-400,Heriot-Watt University,2021,#DIV/0!,null,null,null,null,, Edinburgh ,
1600,351-400,Jilin University,2021,70.1,null,70.1,null,null,, Changchun ,
1601,351-400,Johannes Kepler University Linz,2021,#DIV/0!,null,null,null,null,, Linz ,
1602,351-400,Koç University,2021,#DIV/0!,null,null,null,null,, Istanbul ,
1603,351-400,National Research Nuclear University MEPhI (Moscow Engineering Physics Institute),2021,74.7,null,74.7,null,null,, Moscow ,
1604,351-400,Oxford Brookes University,2021,70.4,null,70.4,null,null,, Oxford ,
1605,351-400,Quaid-i-Azam University,2021,#DIV/0!,null,null,null,null,, Islamabad ,
1606,351-400,Royal Holloway University of London,2021,#DIV/0!,null,null,null,null,, Egham ,
1607,351-400,Sabanci University,2021,#DIV/0!,null,null,null,null,, Istanbul ,
1608,351-400,Sejong University ,2021,#DIV/0!,null,null,null,null,, Seoul ,
1609,351-400,Singapore University of Technology and Design,2021,85.6,null,null,88.8,82.4,, Singapore ,
1610,351-400,Southeast University,2021,88.2,null,null,null,88.2,, Nanjing ,
1611,351-400,TU Dortmund University,2021,#DIV/0!,null,null,null,null,, Dortmund ,
1612,351-400,TELECOM SudParis,2021,#DIV/0!,null,null,null,null,, Évry ,
1613,351-400,National Research Tomsk Polytechnic University,2021,#DIV/0!,null,null,null,null,, Tomsk ,
1614,351-400,Tongji University,2021,82.4,null,null,null,82.4,, Shanghai ,
